Modality, Model Name, Image Size (Orginial), Batch Size, Image Size (Resized), Accuracy, Precision, Recall, F1-Score
Captions,DistilBERT,CLIP(Flickr30k)+GPT2-large,,128,0.77,0.59,0.30,0.40
Captions,DistilBERT,CLIP(Flickr30k)+GPT2-small,,128,0.76,0.79,0.06,0.10
Captions,DistilBERT,CLIP(RN50+COCO)+GPT2,,128,0.76,0.90,0.03,0.06
Captions,DistilBERT,CLIP(RN50+Conceptual)+GPT2,,128,0.75,0.75,0.01,0.02
Captions,DistilBERT,CLIP(RN50x4+COCO)+GPT2,,128,0.75,0.61,0.06,0.11
Captions,DistilBERT,CLIP(RN50x4+Conceptual)+GPT2,,128,0.75,0.60,0.02,0.04
Captions,DistilBERT,CLIP(RN50x16+COCO)+GPT2,,128,0.77,0.65,0.16,0.26
Captions,DistilBERT,CLIP(RN50x16+Conceptual)+GPT2,,128,0.75,1.00,0,0
Captions,DistilBERT,CLIP(RN50x64+COCO)+GPT2,,128,0.75,0.51,0.16,0.24
Captions,DistilBERT,CLIP(RN50x64+Conceptual)+GPT2,,128,0.76,0.60,0.12,0.20
Captions,DistilBERT,CLIP(RN101+COCO)+GPT2,,128,0.75,1.00,0,0
Captions,DistilBERT,CLIP(RN101+Conceptual)+GPT2,,128,0.75,1.00,0,0
Captions,DistilBERT,CLIP(ViT-B-16+COCO)+GPT2,,128,0.79,0.76,0.23,0.35
Captions,DistilBERT,CLIP(ViT-B-16+Conceptual)+GPT2,,128,0.77,0.59,0.32,0.42
Captions,DistilBERT,CLIP(ViT-B-32+COCO)+GPT2,,128,0.75,0.53,0.16,0.24
Captions,DistilBERT,CLIP(ViT-B-32+Conceptual)+GPT2,,128,0.76,0.57,0.17,0.26
Captions,DistilBERT,CLIP(ViT-L-14@336px+COCO)+GPT2,,128,0.78,0.59,0.45,0.51
Captions,DistilBERT,CLIP(ViT-L-14@336px+Conceptual)+GPT2,,128,0.76,0.52,0.42,0.47
Captions,DistilBERT,CLIP(ViT-L-14+COCO)+GPT2,,128,0.77,0.55,0.42,0.47
Captions,DistilBERT,CLIP(ViT-L-14+Conceptual)+GPT2,,128,0.79,0.71,0.30,0.42

Captions,RoBERTa,BLIP_VIT-B_CapFilt-L,,64,0.75,1.00,0,0
Captions,RoBERTa,BLIP_VIT-L,,64,0.75,1.00,0,0
Captions,RoBERTa,CLIP(Flickr30k)+GPT2-large,,64,0.80,0.69,0.39,0.50
Captions,RoBERTa,CLIP(Flickr30k)+GPT2-small,,64,0.75,0.67,0.01,0.01
Captions,RoBERTa,CLIP(RN50+COCO)+GPT2,,64,0.75,1.00,0,0
Captions,RoBERTa,CLIP(RN50+Conceptual)+GPT2,,64,0.75,1.00,0,0
Captions,RoBERTa,CLIP(RN50x4+COCO)+GPT2,,64,0.75,1.00,0,0
Captions,RoBERTa,CLIP(RN50x4+Conceptual)+GPT2,,64,0.75,1.00,0,0
Captions,RoBERTa,CLIP(RN50x16+COCO)+GPT2,,64,0.75,1.00,0,0
Captions,RoBERTa,CLIP(RN50x16+Conceptual)+GPT2,,64,0.75,1.00,0,0
Captions,RoBERTa,CLIP(RN50x64+COCO)+GPT2,,64,0.75,1.00,0,0
Captions,RoBERTa,CLIP(RN50x64+Conceptual)+GPT2,,64,0.75,1.00,0,0
Captions,RoBERTa,CLIP(RN101+COCO)+GPT2,,64,0.75,1.00,0,0
Captions,RoBERTa,CLIP(RN101+Conceptual)+GPT2,,64,0.75,1.00,0,0
Captions,RoBERTa,CLIP(ViT-B-16+COCO)+GPT2,,64,0.75,1.00,0,0
Captions,RoBERTa,CLIP(ViT-B-16+Conceptual)+GPT2,,64,0.75,1.00,0,0
Captions,RoBERTa,CLIP(ViT-B-32+COCO)+GPT2,,64,0.75,1.00,0,0
Captions,RoBERTa,CLIP(ViT-B-32+Conceptual)+GPT2,,64,0.75,1.00,0,0
Captions,RoBERTa,CLIP(ViT-L-14@336px+COCO)+GPT2,,64,0.75,1.00,0,0
Captions,RoBERTa,CLIP(ViT-L-14@336px+Conceptual)+GPT2,,64,0.75,1.00,0,0
Captions,RoBERTa,CLIP(ViT-L-14+COCO)+GPT2,,64,0.75,1.00,0,0
Captions,RoBERTa,CLIP(ViT-L-14+Conceptual)+GPT2,,64,0.75,1.00,0,0

Captions,ALBERT,BLIP_VIT-B_CapFilt-L,,64,0.75,1.00,0,0
Captions,ALBERT,BLIP_VIT-L,,64,0.75,1.00,0,0
Captions,ALBERT,CLIP(Flickr30k)+GPT2-large,,64,0.75,1.00,0,0
Captions,ALBERT,CLIP(Flickr30k)+GPT2-small,,64,0.75,1.00,0,0
Captions,ALBERT,CLIP(RN50+COCO)+GPT2,,64,0.75,1.00,0,0
Captions,ALBERT,CLIP(RN50+Conceptual)+GPT2,,64,0.75,1.00,0,0
